"","y","p"
"1",1.4,0.0138888888888889
"2",1.45,0.0138888888888889
"3",1.5,0.0138888888888889
"4",1.55,0.0138888888888889
"5",1.6,0.0138888888888889
"6",1.65,0.0138888888888889
"7",1.7,0.0138888888888889
"8",1.75,0.0138888888888889
"9",1.8,0.0138888888888889
"10",1.85,0.0138888888888889
"11",1.9,0.0138888888888889
"12",1.95,0.0138888888888889
"13",2,0.0138888888888889
"14",2.05,0.0138888888888889
"15",2.1,0.0138888888888889
"16",2.15,0.0138888888888889
"17",2.2,0.0138888888888889
"18",2.25,0.0138888888888889
"19",2.3,0.0138888888888889
"20",2.35,0.0138888888888889
"21",2.4,0.0138888888888889
"22",2.45,0.0138888888888889
"23",2.5,0.0138888888888889
"24",2.55,0.0138888888888889
"25",2.6,0.0138888888888889
"26",2.65,0.0138888888888889
"27",2.7,0.0138888888888889
"28",2.75,0.0138888888888889
"29",2.8,0.0138888888888889
"30",2.85,0.0138888888888889
"31",2.9,0.0138888888888889
"32",2.95,0.0138888888888889
"33",3,0.0138888888888889
"34",3.05,0.0277777777777778
"35",3.1,0.0138888888888889
"36",3.15,0.0138888888888889
"37",3.2,0.0138888888888889
"38",3.25,0.0138888888888889
"39",3.3,0.0138888888888889
"40",3.35,0.0138888888888889
"41",3.4,0.0138888888888889
"42",3.45,0.0277777777777778
"43",3.5,0.0138888888888889
"44",3.55,0.0138888888888889
"45",3.6,0.0138888888888889
"46",3.65,0.0138888888888889
"47",3.7,0.0138888888888889
"48",3.75,0.0138888888888889
"49",3.8,0.0138888888888889
"50",3.85,0.0138888888888889
"51",3.9,0.0138888888888889
"52",3.95,0.0138888888888889
"53",4,0.0138888888888889
"54",4.05,0.0138888888888889
"55",4.1,0.0138888888888889
"56",4.15,0.0138888888888889
"57",4.2,0.0138888888888889
"58",4.25,0.0138888888888889
"59",4.3,0.0138888888888889
"60",4.35,0.0138888888888889
"61",4.4,0.0138888888888889
"62",5.6,0.0138888888888889
"63",5.7,0.0138888888888889
"64",5.8,0.0138888888888889
"65",5.9,0.0138888888888889
"66",6.1,0.0138888888888889
"67",6.45,0.0138888888888889
"68",6.5,0.0138888888888889
"69",7,0.0138888888888889
"70",7.1,0.0138888888888889
